LIGA,#,FECHA,HASTA,COMPETENCIA,PRUEBA,CIUDAD,CATEGORIA
KARATE DO,48,06/06/2022 12:00:00 AM,11/25/2022 12:00:00 AM,NACIONAL INTERLIGAS 2,TODAS,VILLAVICENCIO,KATA Y KUMITE
KARATE DO,49,10/17/2022 12:00:00 AM,11/26/2022 12:00:00 AM,NACIONAL INTERLIGAS 3,TODAS,CALI VALLE,KATA Y KUMITE
JUDO,50,10/18/2022 12:00:00 AM,11/27/2022 12:00:00 AM,CAMPEONATO NACIONAL,MAYORES,CALI VALLE,JUDO
MOTOCICLISMO,51,10/19/2022 12:00:00 AM,11/28/2022 12:00:00 AM,VALIDA VELOCIDAD EN TIERRA,TODAS,CALI VALLE,MOTOCICLISMO
MOTOCICLISMO,52,10/20/2022 12:00:00 AM,11/29/2022 12:00:00 AM,MOTO VELOCIDAD,TODAS,CALI VALLE,MOTOCICLISMO
MOTOCICLISMO,53,10/21/2022 12:00:00 AM,11/30/2022 12:00:00 AM,MOTO CROSS,TODAS,CALI VALLE,MOTOCICLISMO
FUTBOL,54,10/22/2022 12:00:00 AM,11/30/2022 12:00:00 AM,FASE FINAL SUB 13 MASCULINO Y FEMENINO,SUB 13,Rosario ARGENTINA,FUTBOL
FUTBOL,55,10/23/2022 12:00:00 AM,12/01/2022 12:00:00 AM,FASE FINAL SUB 15 MASCULINO Y FEMENINO,SUB 15,Rosario ARGENTINA,FUTBOL
FUTBOL,56,10/24/2022 12:00:00 AM,12/02/2022 12:00:00 AM,FASE FINAL SUB 17 MASCULINO Y FEMENINO,SUB 17,Rosario ARGENTINA,FUTBOL
LUCHA,57,10/25/2022 12:00:00 AM,12/03/2022 12:00:00 AM,"Campeonato Nacional Cadetes
2022 “clasificatorio a Juegos
Suramericanos de la juventud”",Cadetes,Rosario ARGENTINA,LUCHA
LUCHA,58,10/26/2022 12:00:00 AM,12/04/2022 12:00:00 AM,Juegos Suramericanos de la juventud 2022,Cadetes,Rosario ARGENTINA,LUCHA
LUCHA,59,10/27/2022 12:00:00 AM,12/05/2022 12:00:00 AM,I Copa Colombia 2022,Mayores,Rosario ARGENTINA,LUCHA
LUCHA,60,10/28/2022 12:00:00 AM,12/06/2022 12:00:00 AM,"Campeonato Panamericano de
Mayores 2022",Mayores,Santiago,LUCHA
LUCHA,61,10/29/2022 12:00:00 AM,12/07/2022 12:00:00 AM,II Copa Colombia 2022,Mayores,Santiago,LUCHA
LUCHA,62,10/30/2022 12:00:00 AM,12/08/2022 12:00:00 AM,"Campeonato nacional de mayores 2022, cmapeonato nacional de playa",Mayores,BOYACA,LUCHA
TENIS DE MESA,63,10/31/2022 12:00:00 AM,12/09/2022 12:00:00 AM,Campeonato Nacional de Equipos,TODAS,BOYACA,TENIS DE MESA
TENIS DE MESA,64,11/01/2022 12:00:00 AM,12/10/2022 12:00:00 AM,Campeonato Nacional Individual y Dobles,TODAS,BOYACA,TENIS DE MESA
TENIS DE MESA,65,11/02/2022 12:00:00 AM,12/11/2022 12:00:00 AM,Campeonato Nacional de Mayores,MAYORES,ANTIOQUIA,TENIS DE MESA
TENIS DE MESA,66,11/03/2022 12:00:00 AM,12/12/2022 12:00:00 AM,Campeonato nacional U15 U21,U15-U21,BOGOTA,TENIS DE MESA
TENIS DE MESA,67,11/04/2022 12:00:00 AM,12/13/2022 12:00:00 AM,Campeonato Nacional Top Colombia,TODAS,RISARALDA,TENIS DE MESA
